track_title,artist,album,year,playlist,service
Terminal Velocity,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
The Oddfather,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Happy Song,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Gemini,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Out Of The Blue,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Glassy-Eyed Zombies,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
The Way Things Fall,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Snake In My Boot,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Temple Of Circadia,John Petrucci,Terminal Velocity,2020,Instrumental,Tidal
Mariana Trench,Nita Strauss,Controlled Chaos,2018,Instrumental,Tidal
Pandemonium 2.0,Nita Strauss,Controlled Chaos,2018,Instrumental,Tidal
The Show Must Go On,Nita Strauss,Controlled Chaos,2018,Instrumental,Tidal
