track_title,artist,album,year,playlist,service
Sahara,Joe Satriani,The Elephants of Mars,2022,Satriani,Tidal
Faceless,Joe Satriani,The Elephants of Mars,2022,Satriani,Tidal
Blue Foot Groovy,Joe Satriani,The Elephants of Mars,2022,Satriani,Tidal
Shapeshifting,Joe Satriani,Shapeshifting,2020,Satriani,Tidal
All for Love,Joe Satriani,Shapeshifting,2020,Satriani,Tidal
Teardrops,Joe Satriani,Shapeshifting,2020,Satriani,Tidal
Nineteen Eighty,Joe Satriani,Shapeshifting,2020,Satriani,Tidal
Energy,Joe Satriani,What Happens Next,2018,Satriani,Tidal
Thunder High On The Mountain,Joe Satriani,What Happens Next,2018,Satriani,Tidal
Headrush,Joe Satriani,What Happens Next,2018,Satriani,Tidal
Super Funky Badass,Joe Satriani,What Happens Next,2018,Satriani,Tidal
Invisible,Joe Satriani,What Happens Next,2018,Satriani,Tidal
Shockwave Supernova,Joe Satriani,Shockwave Supernova,2015,Satriani,Tidal
In My Pocket,Joe Satriani,Shockwave Supernova,2015,Satriani,Tidal
On Peregrine Wings,Joe Satriani,Shockwave Supernova,2015,Satriani,Tidal
Unstoppable Momentum,Joe Satriani,Unstoppable Momentum,2013,Satriani,Tidal
Three Sheets to the Wind,Joe Satriani,Unstoppable Momentum,2013,Satriani,Tidal
Can't Go Back,Joe Satriani,Unstoppable Momentum,2013,Satriani,Tidal
Jumpin' In,Joe Satriani,Unstoppable Momentum,2013,Satriani,Tidal
Premonition,Joe Satriani,Black Swans and Wormhole Wizards,2010,Satriani,Tidal
